audio_id,concern_ids,primary_focus,protocol_id,practice_id,audit_status,finding_codes
16b7e83c0418,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
16b7e83c0418,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
2c9d61ebb9da,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
357eeb649bd6,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
36a7bd4286b4,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
37db691d1416,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
3ced1f723c5e,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
40fb338380cc,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
442202fca595,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
54b972ad300a,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
5662e8094f66,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
5e7819c3abb4,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
5fdfa9eb73e5,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
6b3aa0d0ddfb,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
6fb8c8208c80,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
70479ec67665,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
7436d634b9bf,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,PERSISTENT_HOARSENESS,SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,"PAIN_WHILE_SINGING,HIGH_NOTE_FLIPS",SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,"PAIN_WHILE_SINGING,HIGH_NOTE_TOO_EFFORTFUL",SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,"PAIN_WHILE_SINGING,LOUD_VOICE_DIFFICULT",SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,"PAIN_AFTER_SINGING,VOCAL_FATIGUE",SAFETY,SAFETY,SAFETY_STOP,PASS,
7abf49d0b4cd,"SPEAKING_DISCOMFORT,THROAT_EFFORT",SAFETY,SAFETY,SAFETY_STOP,PASS,
7b8c45cdd16b,PAIN_WHILE_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
7b8c45cdd16b,PAIN_AFTER_SINGING,SAFETY,SAFETY,SAFETY_STOP,PASS,
7b8c45cdd16b,SPEAKING_DISCOMFORT,SAFETY,SAFETY,SAFETY_STOP,PASS,
