rank,filename,audio_id,sha256,path,current_cluster,status,robust_score,sim_drowning,sim_movie,sim_prototype,min_seed_similarity,mean_seed_similarity,seed_similarity_gap,segment_median_drowning,segment_median_movie,segment_support,quality,review_required,notes
11,upload.webm · 2c9d61eb,2c9d61ebb9da,2c9d61ebb9da411d4a3b8592d3fc0f7696b4c40a07a88bded722bfab4c114f11,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_i\attempt_1\upload.webm,speaker_025,MEDIUM_CANDIDATE,0.512876,0.496422,0.520982,0.560270,0.496422,0.508702,0.024559,0.504770,0.513167,0.500000,FAIR,True,moderate both-seed similarity
12,호흡많고헤드.m4a,99023e55f0f5,99023e55f0f5940b7cde7dff7d8abbdf56da3a9903a768a392c02968d42a0ccc,C:\VocalAgent\호흡많고헤드.m4a,speaker_006,MEDIUM_CANDIDATE,0.512002,0.571245,0.478072,0.577843,0.478072,0.524658,0.093173,0.449258,0.426404,0.125000,GOOD,True,moderate both-seed similarity
13,upload.webm · ee4a74e0,ee4a74e09cc1,ee4a74e09cc1d3a84c8dd5f05069b2a31884a3f4bf5909010b4c42814462900f,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\sustain_i\attempt_1\upload.webm,speaker_004,MEDIUM_CANDIDATE,0.506514,0.541756,0.480944,0.563186,0.480944,0.511350,0.060813,0.432502,0.429720,0.333333,FAIR,True,moderate both-seed similarity
14,upload.webm · 983379d1,983379d1fe46,983379d1fe46018a844e384f9f0f5648d23d86003365b570f6dde8d7bf41c0ab,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_i\attempt_1\upload.webm,speaker_007,LOW_CANDIDATE,0.496678,0.595307,0.449677,0.575457,0.449677,0.522492,0.145629,0.446165,0.492506,0.125000,GOOD,False,weak similarity
15,upload.webm · 5662e809,5662e8094f66,5662e8094f66d3fd27846cd64b216dd557acef7d5817025c677957bea94780f0,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\high_note_sustain_a\attempt_1\upload.webm,speaker_019,MEDIUM_CANDIDATE,0.489381,0.526457,0.463640,0.545232,0.463640,0.495048,0.062817,0.416613,0.402425,0.250000,GOOD,True,moderate both-seed similarity
16,기모그.m4a,d241c8e7a734,d241c8e7a7346bebe1b5802d5a43a11422aa50635f969c5c8842fb58cb7acb88,C:\VocalAgent\기모그.m4a,speaker_010,LOW_CANDIDATE,0.467752,0.543308,0.429419,0.535667,0.429419,0.486363,0.113889,0.360834,0.383358,0.125000,GOOD,False,weak similarity
17,목잡이.m4a,00ae450b11f1,00ae450b11f15f53af9e4ea58c4e52d4bdde098e292c5e6530675c775de0fac1,C:\VocalAgent\목잡이.m4a,speaker_020,LOW_CANDIDATE,0.465576,0.557833,0.421586,0.539352,0.421586,0.489710,0.136247,0.459050,0.374292,0.125000,GOOD,False,weak similarity
18,upload.webm · d87efe3c,d87efe3c048b,d87efe3c048b3a701e13327d22bccf4a2d3d464e5b208b9252482cb702fb032d,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_a\attempt_1\upload.webm,speaker_025,LOW_CANDIDATE,0.456520,0.423801,0.516549,0.517837,0.423801,0.470175,0.092748,0.432703,0.519009,0.375000,FAIR,False,weak similarity
19,upload.webm · f17b7f4f,f17b7f4ff446,f17b7f4ff446eac9181094b557eeffb1a3bbb7779174569b763646b06eca7e41,C:\VocalAgent\runtime\0ff873201e0f4ce8adeb1f176d39cb16\upload.webm,speaker_004,CONFLICT,0.454469,0.605965,0.390502,0.548740,0.390502,0.498233,0.215463,0.419077,0.304817,0.000000,GOOD,True,strong max but inconsistent across seeds
20,upload.webm · 07564b6d,07564b6df5b9,07564b6df5b9862814817adcb31be945298cd3e956eb859d0ae0f7f336b0506f,C:\VocalAgent\runtime\65c2390ef2324f6088b420f8485e56e5\upload.webm,speaker_020,LOW_CANDIDATE,0.451002,0.479086,0.429362,0.500269,0.429362,0.454224,0.049724,0.363333,0.332360,0.000000,GOOD,False,weak similarity
21,편하게.m4a,54b972ad300a,54b972ad300a3466f05c653a20f66b2e247f2ca243cde61dc3e925c627bec230,C:\VocalAgent\편하게.m4a,speaker_006,LOW_CANDIDATE,0.450308,0.540311,0.407496,0.521943,0.407496,0.473903,0.132815,0.432085,0.403200,0.166667,GOOD,False,weak similarity
22,Lyrics.mp3,15f8e161f598,15f8e161f5987f8ea83bccbe92a8ac25ac3260cfdb67bbd40483ae76e527e6a9,C:\VocalAgent\Lyrics.mp3,speaker_022,LOW_CANDIDATE,0.400564,0.360864,0.485351,0.465999,0.360864,0.423108,0.124487,0.319132,0.391571,0.000000,GOOD,False,weak similarity
23,upload.webm · 16b7e83c,16b7e83c0418,16b7e83c0418de7c937ef132a6a328a2cc832d298d1a8a9085d7d9ab1aa7dfd4,C:\VocalAgent\runtime\a26c74cad70447bb900e4a31715c74f3\upload.webm,speaker_005,LOW_CANDIDATE,0.399830,0.394470,0.391000,0.432547,0.391000,0.392735,0.003469,0.496074,0.511364,0.500000,GOOD,False,weak similarity
24,upload.webm · a888cb14,a888cb14dd6a,a888cb14dd6a435ef11b9d3e1e350e942563384804df24dbefd77420438e1133,C:\VocalAgent\runtime\7968846c14a24f61954480da44b2a392\upload.webm,speaker_005,LOW_CANDIDATE,0.397661,0.396472,0.387462,0.431701,0.387462,0.391967,0.009011,0.506806,0.514651,0.600000,GOOD,False,weak similarity
25,가없너.m4a,fadd83f6eb33,fadd83f6eb3313e95ef6b2600000daf035cbc6aee4b846f479a9c5e882787d16,C:\VocalAgent\가없너.m4a,speaker_010,LOW_CANDIDATE,0.396853,0.436473,0.372709,0.445605,0.372709,0.404591,0.063764,0.352611,0.316201,0.000000,GOOD,False,weak similarity
26,편안세게.m4a,10d07cc48c55,10d07cc48c5598fbd2497f0391de54c659e0fafdd7133ad7c9678f3c11b93e6f,C:\VocalAgent\편안세게.m4a,speaker_020,LOW_CANDIDATE,0.391313,0.495841,0.345104,0.463096,0.345104,0.420472,0.150737,0.436228,0.348831,0.041667,GOOD,False,weak similarity
