audio_id,00ae450b11f1,07564b6df5b9,0ada85fffc84,0ea5487c229a,0f26db696e8e,10d07cc48c55,1387ae324719,15f8e161f598,16b7e83c0418,1a0be83ce9c6,2c9d61ebb9da,357eeb649bd6,36a7bd4286b4,37db691d1416,3ced1f723c5e,40fb338380cc,442202fca595,54b972ad300a,5662e8094f66,5e7819c3abb4,5fdfa9eb73e5,6b3aa0d0ddfb,6fb8c8208c80,70479ec67665,7436d634b9bf,7abf49d0b4cd,7b8c45cdd16b,8156c1254947,882c5cd5a0c8,8b5617784c9c,90147c986aae,90ac5e34aedd,95b54db5ba3d,983379d1fe46,99023e55f0f5,9e6b39daf637,a29f829eedd0,a69d81db3e48,a77ba822cbfe,a7c957603751,a888cb14dd6a,aba38287641d,aef8b974cfb0,b4b7ce279c98,b960707ab2f6,b9ff5bf02262,bdb75679732a,c01fc220195f,c1815547c828,c1f4910eafe2,c3fca76b89b8,c5b20be3c802,c5cd93ed40a3,c8d4b24b6f55,ca43bc2b048b,cfc6b206e99b,d03ad168d8d7,d241c8e7a734,d395d6bc40d4,d399575eeebe,d46938baf1fc,d5045bc290a1,d87efe3c048b,e1c87ca2521c,e67deea6f112,e8314e2d9fd3,e8b8aa373520,ec93548d279f,ed401e191813,ee4a74e09cc1,f17b7f4ff446,f19129f7b4dc,fadd83f6eb33
5fdfa9eb73e5,0.557833,0.479086,0.320553,0.414936,0.725937,0.495841,0.659843,0.360864,0.394470,0.310684,0.496422,0.389489,0.305979,0.209012,0.859642,0.433463,0.331712,0.540311,0.526457,0.692987,1.000000,0.435404,0.648779,0.346572,0.302578,0.413414,0.369177,0.821627,0.264002,0.335304,0.353561,0.335220,0.426667,0.595307,0.571245,0.329864,0.474649,0.241572,0.329864,0.783422,0.396472,0.342323,0.643275,0.203994,0.411335,0.184157,0.316319,0.369982,0.020944,0.334049,0.446854,0.196159,0.346633,0.261448,0.188980,0.310684,0.427395,0.543308,0.401005,0.475433,0.317811,0.748647,0.423801,0.422051,0.055210,0.499079,0.370905,0.616791,0.389224,0.541756,0.605965,0.340669,0.436473
6b3aa0d0ddfb,0.335740,0.334972,0.168974,0.391652,0.464302,0.320752,0.419576,0.245833,0.269101,0.163513,0.390960,0.264442,0.222113,0.265816,0.385852,0.320198,0.202399,0.385903,0.491228,0.353007,0.435404,1.000000,0.351199,0.396160,0.197249,0.342432,0.274923,0.421034,0.220345,0.283269,0.243887,0.283284,0.252212,0.432608,0.500463,0.199093,0.139152,0.147832,0.199093,0.463514,0.273491,0.190371,0.459905,0.211082,0.458442,0.103624,0.163686,0.274224,0.148928,0.205954,0.288188,0.096835,0.207725,0.098874,0.177583,0.163513,0.410771,0.441997,0.405688,0.434716,0.191302,0.422353,0.420336,0.299151,0.096250,0.327038,0.273299,0.408146,0.428077,0.570571,0.468330,0.251612,0.371501
6fb8c8208c80,0.421586,0.429362,0.107589,0.360177,0.662228,0.345104,0.760667,0.485351,0.391000,0.365991,0.520982,0.254767,0.297990,0.087624,0.725512,0.349167,0.391570,0.407496,0.463640,0.688046,0.648779,0.351199,1.000000,0.351271,0.220089,0.307238,0.387203,0.737918,0.121835,0.353302,0.452484,0.353078,0.341743,0.449677,0.478072,0.390823,0.282697,0.172895,0.390823,0.739205,0.387462,0.222849,0.713958,0.115348,0.282620,0.033548,0.196425,0.387947,0.155110,0.406335,0.330434,0.169504,0.247311,0.086153,0.205697,0.365991,0.290309,0.429419,0.276935,0.301916,0.374416,0.746214,0.516549,0.325779,0.041126,0.514395,0.388603,0.746231,0.348047,0.480944,0.390502,0.173363,0.372709
70479ec67665,0.340829,0.277565,0.147860,0.353612,0.374553,0.270983,0.390758,0.307927,0.148827,0.066098,0.288006,0.180190,0.221284,0.120426,0.336375,0.190378,0.117633,0.245735,0.331021,0.259945,0.346572,0.396160,0.351271,1.000000,0.143268,0.185903,0.177956,0.327458,0.186824,0.180997,0.120658,0.180999,0.267798,0.280736,0.363315,0.115778,0.101726,0.038573,0.115778,0.336150,0.148447,0.176652,0.408101,0.105689,0.439217,0.125215,0.174178,0.177631,0.188973,0.083264,0.266495,0.191968,0.091240,0.064583,0.036794,0.066098,0.215541,0.302770,0.229582,0.286611,0.129134,0.368606,0.360165,0.253983,0.210754,0.307647,0.177157,0.383774,0.366812,0.477016,0.392331,0.219518,0.298644
7436d634b9bf,0.443605,0.372864,0.365598,0.227994,0.376943,0.429138,0.124329,0.324447,-0.018052,-0.018092,0.125282,0.773701,0.329794,0.237730,0.370053,0.391680,-0.027519,0.584864,0.217865,0.423538,0.302578,0.197249,0.220089,0.143268,1.000000,0.748614,0.069372,0.279399,0.389870,0.082860,-0.038259,0.083009,0.305857,0.453953,0.449923,-0.026570,0.554926,0.538753,-0.026570,0.273987,-0.014228,0.448679,0.110267,0.634741,0.233909,0.232474,0.434487,0.068695,0.296485,-0.003726,0.773235,0.399608,0.771302,0.392194,0.038278,-0.018092,0.381061,0.366123,0.244957,0.396592,-0.020270,0.399926,0.106372,0.694329,0.280792,0.136837,0.067573,0.288815,0.253908,0.206483,0.350184,0.337508,0.352588
7abf49d0b4cd,0.466488,0.449505,0.458996,0.236099,0.493883,0.489874,0.193009,0.293980,0.031151,0.021453,0.199996,0.820500,0.428035,0.227892,0.486011,0.396339,-0.007001,0.696166,0.335171,0.500945,0.413414,0.342432,0.307238,0.185903,0.748614,1.000000,0.132315,0.409632,0.451601,0.147002,-0.000076,0.147300,0.240460,0.540973,0.645320,-0.010245,0.627918,0.462181,-0.010245,0.391734,0.028446,0.504496,0.171440,0.529374,0.315971,0.181029,0.479178,0.131417,0.261592,0.025841,0.871754,0.247969,0.822720,0.482834,0.112677,0.021454,0.482451,0.412220,0.358677,0.452728,-0.030360,0.503667,0.177922,0.694164,0.215129,0.191910,0.130044,0.376674,0.293614,0.332902,0.497989,0.358257,0.370851
7b8c45cdd16b,0.248425,0.114109,0.016786,0.483352,0.418441,0.102569,0.563625,0.296161,0.629889,0.661517,0.654610,0.109441,0.135738,0.197320,0.363961,0.280570,0.709283,0.147004,0.326901,0.303440,0.369177,0.274923,0.387203,0.177956,0.069372,0.132315,1.000000,0.373046,0.191535,0.969716,0.771626,0.969491,0.205045,0.347839,0.319127,0.709116,0.017223,-0.025943,0.709116,0.480524,0.628013,-0.013149,0.507205,-0.023070,0.199775,0.105818,-0.064553,0.999969,-0.042338,0.723210,0.168546,-0.018343,0.161350,-0.025049,0.569135,0.661517,0.184772,0.277672,0.145611,0.227861,0.691384,0.314959,0.574576,0.128376,0.005802,0.579918,0.999842,0.361029,0.223462,0.341220,0.200061,0.179182,0.095215
8156c1254947,0.532023,0.469348,0.223921,0.401468,0.843683,0.392614,0.739220,0.450129,0.333917,0.307987,0.523718,0.328857,0.236066,0.134429,0.832428,0.455026,0.305812,0.582784,0.482181,0.790843,0.821627,0.421034,0.737918,0.327458,0.279399,0.409632,0.373046,1.000000,0.183354,0.329040,0.365096,0.328920,0.413952,0.567914,0.608354,0.300648,0.339447,0.125051,0.300648,0.818032,0.341051,0.265127,0.687399,0.169662,0.314508,0.128934,0.225832,0.374053,0.021770,0.339406,0.420320,0.198030,0.321994,0.202581,0.198928,0.307987,0.399490,0.635911,0.325504,0.438062,0.272003,0.786773,0.467893,0.380322,0.080561,0.520058,0.374937,0.715184,0.398723,0.545198,0.585468,0.248775,0.521746
882c5cd5a0c8,0.313742,0.236969,0.261628,0.294060,0.230931,0.366066,0.106620,0.196363,0.179933,0.094695,0.203873,0.411469,0.302088,0.458142,0.273183,0.493141,0.130029,0.348819,0.263728,0.196464,0.264002,0.220345,0.121835,0.186824,0.389870,0.451601,0.191535,0.183354,1.000000,0.183212,0.057767,0.183315,0.186357,0.383823,0.321550,0.127740,0.409192,0.425704,0.127740,0.213479,0.182143,0.341292,0.111849,0.512378,0.344792,0.398319,0.303323,0.191394,0.224718,0.076414,0.419015,0.269752,0.341925,0.483704,0.005538,0.094695,0.408005,0.208691,0.190121,0.390965,0.124974,0.262553,0.260311,0.343497,0.283270,0.277509,0.191254,0.191173,0.298792,0.240994,0.338424,0.579239,0.161905
8b5617784c9c,0.257981,0.100985,-0.018468,0.461363,0.370919,0.109496,0.527797,0.287743,0.563163,0.580439,0.606765,0.118239,0.152926,0.178529,0.330245,0.266517,0.658478,0.149510,0.312416,0.264129,0.335304,0.283269,0.353302,0.180997,0.082860,0.147002,0.969716,0.329040,0.183212,1.000000,0.713714,0.999998,0.196010,0.330704,0.315336,0.660991,-0.014112,-0.014890,0.660991,0.422793,0.567121,-0.013286,0.480764,0.000392,0.204345,0.129417,-0.079501,0.967800,-0.014527,0.643922,0.181717,-0.009016,0.187181,-0.046930,0.542845,0.580439,0.195015,0.244401,0.166048,0.224674,0.654580,0.272358,0.538922,0.127970,0.044204,0.550967,0.965386,0.337777,0.240498,0.323131,0.192381,0.170100,0.084351
