filename,audio_id,sha256,path,current_cluster,sim_centroid,sim_medoid,sim_k2,sim_k3,mean_similarity_to_confirmed,median_similarity_to_confirmed,min_similarity_to_confirmed,max_similarity_to_confirmed,std_similarity_to_confirmed,support_ratio,status,multi_prototype_only,segment_support,old_v2_rank,old_v2_status,rank
upload.webm,d399575eeebe,d399575eeebed9ee5739df586f8851dd6f04620a466e634b85e97b81e9541a9d,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\siren\attempt_1\upload.webm,speaker_001,0.4628777503967285,0.43806225061416626,0.4667549431324005,0.4667549431324005,0.40135872093113983,0.413690447807312,0.3019157648086548,0.47543346881866455,0.04995251811561253,0.0,LOW,False,0.0,26,LOW,23
upload.webm,ed401e191813,ed401e191813a304b8ea3194ffed35ed285e33b948375a727a1e30698ca8a78a,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\siren\attempt_1\upload.webm,speaker_001,0.46275413036346436,0.3987233340740204,0.4682099223136902,0.4860738515853882,0.4012515273961154,0.3987233340740204,0.31226393580436707,0.46503302454948425,0.046078669577873564,0.0,LOW,False,0.0,22,LOW,24
편안세게.m4a,10d07cc48c55,10d07cc48c5598fbd2497f0391de54c659e0fafdd7133ad7c9678f3c11b93e6f,C:\VocalAgent\편안세게.m4a,speaker_020,0.4580698013305664,0.3926135301589966,0.4930397868156433,0.4930397868156433,0.3971897444941781,0.4053722620010376,0.2043851912021637,0.5260292291641235,0.09055067846887632,0.0,LOW,False,0.07575757575757575,28,LOW,25
upload.webm,e1c87ca2521c,e1c87ca2521c111be9167e088e3dce3a15d6ec95a01420423bcc991f36d002ca,C:\VocalAgent\runtime\78510f3622e64f1dbe00be542b3fdaa9\upload.webm,speaker_006,0.448048859834671,0.38032180070877075,0.4739592671394348,0.4739592671394348,0.38850064304741944,0.42205139994621277,0.23260526359081268,0.5075441002845764,0.08436510228718365,0.0,LOW,False,nan,31,LOW,26
upload.webm,95b54db5ba3d,95b54db5ba3d0f7067ee955a5b3e3b160ddbd3ef8112d53a881c3a97c0539ecb,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\dynamic_swell\attempt_1\upload.webm,speaker_011,0.44604599475860596,0.4139517843723297,0.44592419266700745,0.44592419266700745,0.3867639628323642,0.4019051194190979,0.3092471659183502,0.43507009744644165,0.04103046997600671,0.0,LOW,False,nan,18,LOW,27
upload.webm,7abf49d0b4cd,7abf49d0b4cdc7f451370d7cb5805222ad3482bc8842f59edfb13c215214da32,C:\VocalAgent\runtime\fce31e25965045ea8778700dad4b31cc\upload.webm,speaker_006,0.4453374445438385,0.40963220596313477,0.5059101581573486,0.5059101581573486,0.3861496096307581,0.40963220596313477,0.1714402437210083,0.5036666989326477,0.11265930762768228,0.0,LOW,False,nan,47,LOW,28
upload.webm,a888cb14dd6a,a888cb14dd6a435ef11b9d3e1e350e942563384804df24dbefd77420438e1133,C:\VocalAgent\runtime\7968846c14a24f61954480da44b2a392\upload.webm,speaker_005,0.4340856075286865,0.341051310300827,0.46779730916023254,0.47135043144226074,0.3763932070948861,0.36529260873794556,0.24688908457756042,0.5032278299331665,0.0759003709179885,0.0,LOW,False,nan,40,LOW,29
upload.webm,16b7e83c0418,16b7e83c0418de7c937ef132a6a328a2cc832d298d1a8a9085d7d9ab1aa7dfd4,C:\VocalAgent\runtime\a26c74cad70447bb900e4a31715c74f3\upload.webm,speaker_005,0.43372565507888794,0.3339167535305023,0.4715941548347473,0.47503435611724854,0.37608111852949316,0.36603862047195435,0.23390181362628937,0.509607195854187,0.08061800879132343,0.0,LOW,False,nan,45,LOW,30
upload.wav,c1f4910eafe2,c1f4910eafe21e50ed5c64e1d8faf27503427b10760bd55c9762e5a1965abc8e,C:\VocalAgent\runtime\e7d6b8168bc64bed95f5a7cf2f27c204\upload.wav,speaker_005,0.4326580762863159,0.33940598368644714,0.4706224203109741,0.468246728181839,0.3751554082740437,0.3575383424758911,0.2987149953842163,0.5229681134223938,0.06858711420501554,0.0,LOW,False,nan,27,LOW,31
upload.wav,8b5617784c9c,8b5617784c9cc595a52c9f2acc8ed7dbed319892f0378f8edee2772b0ebc3de7,C:\VocalAgent\runtime\336e27a3d2af432aaecb554c46dbcc90\upload.wav,speaker_005,0.4219345152378082,0.3290404975414276,0.4684712290763855,0.4845240116119385,0.36585707285187463,0.33777740597724915,0.26412853598594666,0.5277968645095825,0.07762924368430395,0.0,LOW,False,nan,33,LOW,32
